target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,target.gemmini_auto_cycle,target.gemmini_cycle
2458624,473.771,1164.825,1.286653,L3[WIO] P7 Q14 - L2[WI] N1 K16X - L1[O] K4 Q2 S7 R7 C3X - L0[W] Q4 P16,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,2459751.0,5848103.0
50688,63.4934,3.218354,1.286653,L3[WIO] P2 Q4 - L2[WI] N1 K16X - L1[O] K4 C4 Q14 P14 C16X - L0[W] P2,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,64,1,56,56,1,1,1,1,445701.0,805183.0
451584,258.235,116.615,1.286653,L3[WIO] Q7 P2 - L2[WI] N1 K16X - L1[O] K4 C4 Q4 S3 R3 C16X - L0[W] Q2 P28,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,64,1,56,56,3,3,1,1,1240512.0,2827454.0
200704,194.447,39.02638,1.286653,L3[WIO] P7 Q7 - L2[WI] N1 K16X - L1[O] K16 C4 Q4 P8 C16X - L0[W] Q2,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,256,1,56,56,1,1,1,1,1548725.0,13313311.0
200704,194.315,38.99983,1.286653,L3[WIO] Q2 P7 - L2[WI] N1 K16X - L1[O] K4 C16 Q14 P8 C16X - L0[W] Q2,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,64,1,56,56,1,1,1,1,3787041.0,8144723.0
401408,306.805,123.1541,1.286653,L3[WIO] P4 Q7 - L2[WI] N1 K16X - L1[O] K8 C16 Q2 P14 C16X - L0[W] Q4,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,128,1,56,56,1,1,1,1,7112483.0,24436437.0
454720,292.3520000000001,132.9383,1.286653,L3[WIO] C2 P2 Q2 - L2[WI] N1 K16X - L1[O] P2 K8 C4 S3 R3 C16X - L0[W] Q14 P7,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,2,128,1,28,28,3,3,1,2,1670358.0,6544854.0
200704,154.72799999999995,31.0545,1.286653,L3[WIO] P4 Q7 - L2[WI] N1 K16X - L1[O] K32 C8 Q4 P7 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,512,1,28,28,1,1,1,1,2318272.0,26896605.0
401408,316.793,127.1631,1.286653,L3[WIO] P4 Q7 - L2[WI] N1 K16X - L1[O] K32 C16 P7 C16X - L0[W] Q4,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,2,512,1,28,28,1,1,1,2,11072630.0,119810369.0
200704,168.1,33.73836,1.286653,L3[WIO] Q4 K2 - L2[WI] N1 K16X - L1[O] K4 C32 Q7 P28 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,128,1,28,28,1,1,1,1,4863895.0,12761673.0
495648,291.557,144.5098,1.286653,L3[WIO] K2 P2 - L2[WI] N1 K16X - L1[O] K4 C8 Q28 S3 R3 C16X - L0[W] P14,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,128,1,28,28,3,3,1,1,2417381.0,6035490.0
401408,260.027,104.377,1.286653,L3[WIO] P7 Q2 - L2[WI] N1 K16X - L1[O] K16 C32 Q7 C16X - L0[W] Q2 P4,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,256,1,28,28,1,1,1,1,9501241.0,110104700.0
509000,341.624,173.8867,1.286653,L3[WIO] C2 K8 - L2[WI] N1 K16X - L1[O] K2 C8 Q14 S3 R3 C16X - L0[W] P14,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,2,256,1,14,14,3,3,1,2,6841053.0,5064293.0
200704,155.328,31.17495,1.286653,L3[WIO] K2 P7 - L2[WI] N1 K16X - L1[O] K32 C16 Q14 C16X - L0[W] P2,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,1024,1,14,14,1,1,1,1,4622277.0,163720274.0
407680,388.309,158.3058,1.286653,L3[WIO] C2 P2 K32 - L2[WI] N1 K16X - L1[O] K2 C16 Q7 P7 C16X - L0[W] Q2,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,2,1024,1,14,14,1,1,1,2,26110384.0,36779923.0
202272,153.619,31.07289,1.286653,L3[WIO] C2 K16 - L2[WI] N1 K16X - L1[O] P2 C32 Q2 C16X - L0[W] Q7 P7,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,256,1,14,14,1,1,1,1,11958794.0,9199903.0
451584,292.499,132.0877,1.286653,L3[WIO] K8 - L2[WI] N1 K16X - L1[O] K2 C16 P7 S3 R3 C16X - L0[W] Q14 P2,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,14,14,3,3,1,1,8288133.0,5658942.0
404544,286.137,115.7552,1.286653,L3[WIO] C2 K32 - L2[WI] N1 K16X - L1[O] P2 C32 Q7 C16X - L0[W] Q2 P7,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,512,1,14,14,1,1,1,1,23749810.0,18549683.0
451584,522.165,235.8012,1.286653,L3[WIO] K2 C2 S3 R3 - L2[WI] N1 K16X - L1[O] K16 C16 Q7 P7 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,2,512,1,7,7,3,3,1,2,23057266.0,90056916.0
200704,215.64,43.27975,1.286653,L3[WIO] K16 - L2[WI] N1 K16X - L1[O] K8 C32 Q7 P7 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,2048,1,7,7,1,1,1,1,49715848.0,37742780.0
401408,434.163,174.2766,1.286653,L3[WIO] K128 - L2[WI] N1 K16X - L1[O] C64 P7 C16X - L0[W] Q7,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,2,2048,1,7,7,1,1,1,2,129761055.0,134285971.0
200704,216.026,43.35733,1.286653,L3[WIO] K32 - L2[WI] N1 K16X - L1[O] C128 Q7 P7 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,2048,1,1,512,1,7,7,1,1,1,1,80265350.0,52173546.0
451584,479.532,216.5489,1.286653,L3[WIO] K2 S3 R3 - L2[WI] N1 K16X - L1[O] K16 C32 Q7 P7 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,512,1,7,7,3,3,1,1,24152624.0,101973552.0
256637,231.222,59.34024,1.286653,L3[WIO] K2 C8 - L2[WI] N1 K10X - L1[O] K50 C16 C16X - L0[W] N1,256,1,16,1568,1568,32,16,32,16,2,2,2,189440,11840,128,1,1,8,1,1,32,gemmini,cnn-layer,2048,1,1,1000,1,1,1,1,1,1,1,237763.0,217671.0
