target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,dse.auto_tiling,target.gemmini_auto_cycle,target.gemmini_cycle
401408,315.827,126.7756,1.238952,L3[WIO] K2 P7 Q2 - L2[WI] N1 K16X - L1[O] K8 C32 Q7 C16X - L0[W] Q2 P4,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,256,1,28,28,1,1,1,1,1_1_23_22_240_16_1,1301980.0,774178.0
1806336,931.162,1681.992,1.238952,L3[WIO] K16 - L2[WI] N1 K16X - L1[O] S3 R3 C16 Q4 P7 C16X - L0[W] Q7 P4,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,28,28,3,3,1,1,3_3_23_22_176_16_1,2670974.0,1867158.0
5080320,2574.19,13077.72,1.238952,L3[WIO] K45 - L2[WI] N1 K16X - L1[O] S3 R3 C16 Q14 P28 C16X - L0[W] Q2,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,720,1,28,28,3,3,1,1,3_3_23_22_176_16_1,6553251.0,5155697.0
338688,161.684,54.7605,1.238952,L3[WIO] K3 - L2[WI] N1 K12X - L1[O] S3 R3 C16 Q4 P28 C16X - L0[W] Q7,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,36,1,28,28,3,3,1,1,3_3_23_22_176_16_1,550018.0,371944.0
200704,147.521,29.60806,1.238952,L3[WIO] K16 - L2[WI] N1 K16X - L1[O] C64 Q2 P2 C16X - L0[W] Q7 P7,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,256,1,14,14,1,1,1,1,1_1_14_14_568_32_1,558659.0,430862.0
451584,284.326,128.3969,1.238952,L3[WIO] K16 - L2[WI] N1 K16X - L1[O] S3 R3 C16 P14 C16X - L0[W] Q14,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,14,14,3,3,1,1,3_3_14_14_240_32_1,756452.0,483400.0
1270080,786.951,999.4904,1.238952,L3[WIO] K45 - L2[WI] N1 K16X - L1[O] S3 R3 C16 Q2 P14 C16X - L0[W] Q7,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,720,1,14,14,3,3,1,1,3_3_14_14_240_32_1,1878003.0,1302271.0
84672,48.403,4.098381,1.238952,L3[WIO] N1 - L2[WI] N1 K12X - L1[O] K3 S3 R3 C16 P7 C16X - L0[W] Q14 P2,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,36,1,14,14,3,3,1,1,3_3_14_14_240_32_1,221381.0,104690.0
100352,117.56,11.79738,1.238952,L3[WIO] K4 - L2[WI] N1 K16X - L1[O] K4 C128 Q7 P7 C16X - L0[W] N1,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,2048,1,1,256,1,7,7,1,1,1,1,1_1_7_7_624_160_1,427790.0,163886.0
112896,124.453,14.0502,1.238952,L3[WIO] K2 S3 - L2[WI] N1 K16X - L1[O] K8 R3 C16 Q7 P7 C16X - L0[W] N1,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,7,7,3,3,1,1,3_3_7_7_119_112_1,210199.0,162217.0
317520,348.64,110.7003,1.238952,L3[WIO] K5 R3 - L2[WI] N1 K16X - L1[O] K9 S3 C16 Q7 P7 C16X - L0[W] N1,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,720,1,7,7,3,3,1,1,3_3_7_7_119_112_1,586788.0,432309.0
