target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,dse.auto_tiling,target.gemmini_auto_cycle,target.gemmini_cycle
11696400,3434.61,40172.56,1.862173,L3[WIO] K2 Q95 P19 - L2[WI] N1 K16X - L1[O] K2 S3 R3 Q3 P3 - L0[W] Q2 P10,256,1,16,1376,1376,32,16,32,16,2,2,2,398336,24896,128,1,1,8,1,1,32,gemmini,cnn-layer,1,1,1,64,1,570,570,3,3,1,1,3_3_23_22_1_16_1,29838508.0,43776474.0
46457856,33574.4,1559795.0,1.862173,L3[WIO] K2 Q71 P71 - L2[WI] N1 K16X - L1[O] K2 S3 R3 C4 Q4 P4 C16X - L0[W] Q2 P2,256,1,16,1376,1376,32,16,32,16,2,2,2,398336,24896,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,64,1,568,568,3,3,1,1,3_3_23_22_64_16_1,58565173.0,63172479.0
22902912,17012.0,389623.9,1.862173,L3[WIO] P47 Q94 - L2[WI] N1 K16X - L1[O] K8 S3 R3 C4 Q3 C16X - L0[W] P6,256,1,16,1376,1376,32,16,32,16,2,2,2,398336,24896,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,282,282,3,3,1,1,3_3_23_22_64_16_1,26078446.0,35635585.0
45158400,26153.0,1181029.0,1.862173,L3[WIO] P14 Q35 - L2[WI] N1 K16X - L1[O] K8 S3 R3 C8 Q4 P4 C16X - L0[W] Q2 P5,256,1,16,1376,1376,32,16,32,16,2,2,2,398336,24896,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,128,1,280,280,3,3,1,1,3_3_23_22_128_16_1,47047413.0,48574200.0
21938688,16929.0,371399.2,1.862173,L3[WIO] K4 Q46 P23 - L2[WI] N1 K16X - L1[O] K4 S3 R3 C8 Q3 C16X - L0[W] P6,256,1,16,1376,1376,32,16,32,16,2,2,2,398336,24896,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,256,1,138,138,3,3,1,1,3_3_23_22_128_16_1,22583682.0,34158343.0
42614784,26847.5,1144099.0,1.862173,L3[WIO] K4 P17 Q17 - L2[WI] N1 K16X - L1[O] K4 S3 R3 C16 Q4 C16X - L0[W] Q2 P8,256,1,16,1376,1376,32,16,32,16,2,2,2,398336,24896,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,136,136,3,3,1,1,3_3_23_22_176_16_1,45285721.0,48641420.0
20072448,13520.0,271379.9,1.862173,L3[WIO] K8 Q11 P11 - L2[WI] N1 K16X - L1[O] K4 S3 R3 C16 Q6 P2 C16X - L0[W] P3,256,1,16,1376,1376,32,16,32,16,2,2,2,398336,24896,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,512,1,66,66,3,3,1,1,3_3_23_22_176_16_1,22073941.0,30695317.0
37748736,24264.9,915968.6,1.862173,L3[WIO] K16 Q2 P8 - L2[WI] N1 K16X - L1[O] K2 S3 R3 C32 Q4 P2 C16X - L0[W] Q8 P4,256,1,16,1376,1376,32,16,32,16,2,2,2,398336,24896,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,512,1,64,64,3,3,1,1,3_3_23_22_176_16_1,40045666.0,39904550.0
16588800,11466.5,190215.9,1.862173,L3[WIO] K32 Q10 - L2[WI] N1 K16X - L1[O] K2 S3 R3 C32 Q3 P10 C16X - L0[W] P3,256,1,16,1376,1376,32,16,32,16,2,2,2,398336,24896,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,1024,1,30,30,3,3,1,1,3_3_23_22_176_16_1,22489167.0,20451293.0
28901376,24281.7,701774.9,1.862173,L3[WIO] K64 Q2 P7 - L2[WI] N1 K16X - L1[O] S3 R3 C64 Q14 C16X - L0[W] P4,256,1,16,1376,1376,32,16,32,16,2,2,2,398336,24896,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,1024,1,28,28,3,3,1,1,3_3_23_22_176_16_1,54408500.0,159165219.0
