target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride
401408,350.131,140.5454,1.238952,L3[WIO] P7 K4 - L2[WI] N1 K16X - L1[O] K4 C32 Q14 C16X - L0[W] Q2 P4,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,256,1,28,28,1,1,1,1
1812608,971.756,1761.413,1.238952,L3[WIO] C2 K16 - L2[WI] N1 K16X - L1[O] S3 C8 R3 Q4 P14 C16X - L0[W] Q7 P2,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,28,28,3,3,1,1
5080320,2574.19,13077.72,1.238952,L3[WIO] K45 - L2[WI] N1 K16X - L1[O] S3 R3 C16 Q14 P14 C16X - L0[W] Q2 P2,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,720,1,28,28,3,3,1,1
338688,161.684,54.7605,1.238952,L3[WIO] K3 - L2[WI] N1 K12X - L1[O] S3 R3 C16 Q4 P14 C16X - L0[W] Q7 P2,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,36,1,28,28,3,3,1,1
200704,147.521,29.60806,1.238952,L3[WIO] K8 - L2[WI] N1 K16X - L1[O] K2 C64 Q2 P2 C16X - L0[W] Q7 P7,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,256,1,14,14,1,1,1,1
451584,284.326,128.3969,1.238952,L3[WIO] K16 - L2[WI] N1 K16X - L1[O] S3 R3 C16 P14 C16X - L0[W] Q14,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,14,14,3,3,1,1
1270080,786.951,999.4904,1.238952,L3[WIO] K45 - L2[WI] N1 K16X - L1[O] S3 R3 C16 Q2 P14 C16X - L0[W] Q7,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,720,1,14,14,3,3,1,1
84672,62.4337,5.286382,1.238952,L3[WIO] K3 C2 - L2[WI] N1 K12X - L1[O] S3 R3 C8 P7 C16X - L0[W] Q14 P2,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,36,1,14,14,3,3,1,1
100744,120.097,12.09906,1.238952,L3[WIO] C2 K16 - L2[WI] N1 K16X - L1[O] C64 Q7 P7 C16X - L0[W] N1,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,2048,1,1,256,1,7,7,1,1,1,1
112896,128.892,14.55139,1.238952,L3[WIO] K4 S3 - L2[WI] N1 K16X - L1[O] K4 R3 C16 Q7 P7 C16X - L0[W] N1,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,7,7,3,3,1,1
319725,356.992,114.1394,1.238952,L3[WIO] R3 K45 - L2[WI] N1 K16X - L1[O] S3 C16 Q7 P7 C16X - L0[W] N1,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,720,1,7,7,3,3,1,1
21168,19.6959,0.4169224,1.238952,L3[WIO] R3 - L2[WI] N1 K12X - L1[O] K3 S3 C16 Q7 P7 C16X - L0[W] N1,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,36,1,7,7,3,3,1,1
775936,830.245,644.217,1.238952,L3[WIO] C8 S3 R3 K2 - L2[WI] N1 K16X - L1[O] K8 C16 P4 C16X - L0[W] Q4,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,2048,1,2,256,1,4,4,3,3,1,2
9216,10.2138,0.09413069,1.238952,L3[WIO] K2 - L2[WI] N1 K16X - L1[O] K8 C16 P4 C16X - L0[W] Q4,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,4,4,1,1,1,1
78848,88.6477,6.989694,1.238952,L3[WIO] K2 R3 S3 - L2[WI] N1 K16X - L1[O] K8 C16 P4 C16X - L0[W] Q4,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,4,4,3,3,1,1
215712,244.142,52.66444,1.238952,L3[WIO] K3 S3 R3 - L2[WI] N1 K16X - L1[O] K15 C16 Q2 P4 C16X - L0[W] Q2,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,720,1,4,4,3,3,1,1
11593,13.0925,0.1517811,1.238952,L3[WIO] S3 - L2[WI] N1 K12X - L1[O] K3 R3 C16 P2 C16X - L0[W] Q4 P2,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,36,1,4,4,3,3,1,1
78496,75.7376,5.945097,1.238952,L3[WIO] S3 R3 K2 - L2[WI] N1 K16X - L1[O] K8 C16 Q2 P2 C16X - L0[W] N1,256,1,16,784,784,32,16,32,16,2,2,2,267264,16704,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,2,256,1,2,2,3,3,1,2
