target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,dse.auto_tiling,target.gemmini_auto_cycle,target.gemmini_cycle
11696400,3435.1,40178.35,1.75301,L3[WIO] P3 Q285 - L2[WI] N1 K16X - L1[O] K4 S3 R3 P19 - L0[W] Q2 P10,256,1,16,1968,1968,32,16,32,16,2,2,2,329728,20608,128,1,1,8,1,1,32,gemmini,cnn-layer,1,1,1,64,1,570,570,3,3,1,1,3_3_23_22_1_16_1,29289824.0,19154842.0
46457856,29456.2,1368474.0,1.75301,L3[WIO] P71 Q71 - L2[WI] N1 K16X - L1[O] K4 S3 R3 C4 Q4 C16X - L0[W] Q2 P8,256,1,16,1968,1968,32,16,32,16,2,2,2,329728,20608,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,64,1,568,568,3,3,1,1,3_3_23_22_64_16_1,60113106.0,54245341.0
22902912,13865.1,317552.1,1.75301,L3[WIO] Q47 P2 K8 - L2[WI] N1 K16X - L1[O] S3 R3 C4 Q6 P47 C16X - L0[W] P3,256,1,16,1968,1968,32,16,32,16,2,2,2,329728,20608,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,282,282,3,3,1,1,3_3_23_22_64_16_1,26957536.0,27293793.0
45158400,25308.9,1142910.0,1.75301,L3[WIO] Q4 P10 K8 - L2[WI] N1 K16X - L1[O] Q2 P2 S3 R3 C8 C16X - L0[W] Q35 P14,256,1,16,1968,1968,32,16,32,16,2,2,2,329728,20608,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,128,1,280,280,3,3,1,1,3_3_23_22_128_16_1,49336951.0,47982007.0
21938688,12453.1,273204.0,1.75301,L3[WIO] Q23 K16 - L2[WI] N1 K16X - L1[O] S3 R3 C8 Q6 P6 C16X - L0[W] P23,256,1,16,1968,1968,32,16,32,16,2,2,2,329728,20608,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,256,1,138,138,3,3,1,1,3_3_23_22_128_16_1,23291913.0,22858709.0
42910720,45371.6,1946927.0,1.75301,L3[WIO] P17 R3 Q17 K8 - L2[WI] N1 K16X - L1[O] K2 S3 C16 Q4 C16X - L0[W] Q2 P8,256,1,16,1968,1968,32,16,32,16,2,2,2,329728,20608,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,136,136,3,3,1,1,3_3_23_22_176_16_1,51064674.0,51256502.0
20142144,11256.5,226730.0,1.75301,L3[WIO] C2 Q2 P2 K32 - L2[WI] N1 K16X - L1[O] S3 R3 C8 Q3 P11 C16X - L0[W] Q11 P3,256,1,16,1968,1968,32,16,32,16,2,2,2,329728,20608,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,512,1,66,66,3,3,1,1,3_3_23_22_176_16_1,25567451.0,22437092.0
38076416,22856.4,870290.9,1.75301,L3[WIO] C2 Q2 P2 R3 K32 - L2[WI] N1 K16X - L1[O] P2 S3 C16 Q8 C16X - L0[W] Q4 P16,256,1,16,1968,1968,32,16,32,16,2,2,2,329728,20608,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,512,1,64,64,3,3,1,1,3_3_23_22_176_16_1,41315304.0,42383049.0
16646400,10484.8,174535.0,1.75301,L3[WIO] Q3 R3 K64 - L2[WI] N1 K16X - L1[O] S3 C32 Q5 P10 C16X - L0[W] Q2 P3,256,1,16,1968,1968,32,16,32,16,2,2,2,329728,20608,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,1024,1,30,30,3,3,1,1,3_3_23_22_176_16_1,27571376.0,24127652.0
29102080,24777.4,721073.4,1.75301,L3[WIO] Q7 S3 R3 K64 - L2[WI] N1 K16X - L1[O] Q2 C64 P4 C16X - L0[W] Q2 P7,256,1,16,1968,1968,32,16,32,16,2,2,2,329728,20608,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,1024,1,28,28,3,3,1,1,3_3_23_22_176_16_1,68375201.0,104200981.0
