target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,dse.auto_tiling,target.gemmini_auto_cycle,target.gemmini_cycle
2458624,461.881,1135.592,1.250374,L3[WIO] P4 Q7 - L2[WI] N1 K16X - L1[O] K4 S7 R7 Q4 P7 C3X - L0[W] Q4 P4,256,1,16,1792,1792,32,16,32,16,2,2,2,143360,8960,128,1,1,8,1,1,32,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,7_7_23_22_3_16_1,2578801.0,2497659.0
50688,62.8263,3.18454,1.250374,L3[WIO] P2 Q14 - L2[WI] N1 K16X - L1[O] K4 C4 Q4 P7 C16X - L0[W] P4,256,1,16,1792,1792,32,16,32,16,2,2,2,143360,8960,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,64,1,56,56,1,1,1,1,1_1_23_22_64_16_1,232713.0,86543.0
451584,235.92,106.5375,1.250374,L3[WIO] Q7 - L2[WI] N1 K16X - L1[O] K4 S3 R3 C4 Q4 P4 C16X - L0[W] Q2 P14,256,1,16,1792,1792,32,16,32,16,2,2,2,143360,8960,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,64,1,56,56,3,3,1,1,3_3_23_22_64_16_1,539574.0,476544.0
200704,188.683,37.86935,1.250374,L3[WIO] Q28 - L2[WI] N1 K16X - L1[O] K16 C4 P8 C16X - L0[W] Q2 P7,256,1,16,1792,1792,32,16,32,16,2,2,2,143360,8960,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,256,1,56,56,1,1,1,1,1_1_23_22_64_16_1,707822.0,347123.0
200704,190.064,38.14652,1.250374,L3[WIO] Q2 P7 - L2[WI] N1 K16X - L1[O] K4 C16 Q14 P2 C16X - L0[W] Q2 P4,256,1,16,1792,1792,32,16,32,16,2,2,2,143360,8960,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,64,1,56,56,1,1,1,1,1_1_23_22_240_16_1,984652.0,234963.0
401408,301.783,121.138,1.250374,L3[WIO] Q7 P7 - L2[WI] N1 K16X - L1[O] K8 C16 Q2 P2 C16X - L0[W] Q4 P4,256,1,16,1792,1792,32,16,32,16,2,2,2,143360,8960,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,128,1,56,56,1,1,1,1,1_1_23_22_240_16_1,1528559.0,483378.0
454720,294.845,134.0718,1.250374,L3[WIO] C2 P2 K2 - L2[WI] N1 K16X - L1[O] K4 S3 R3 C4 Q2 P2 C16X - L0[W] Q14 P7,256,1,16,1792,1792,32,16,32,16,2,2,2,143360,8960,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,2,128,1,28,28,3,3,1,2,3_3_23_22_48_16_1,738339.0,486260.0
200704,145.278,29.15781,1.250374,L3[WIO] Q14 - L2[WI] N1 K16X - L1[O] K32 C8 Q2 P14 C16X - L0[W] P2,256,1,16,1792,1792,32,16,32,16,2,2,2,143360,8960,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,512,1,28,28,1,1,1,1,1_1_23_22_128_16_1,661741.0,246770.0
413952,450.275,186.3924,1.250374,L3[WIO] C2 K2 Q7 - L2[WI] N1 K16X - L1[O] K16 C8 P7 C16X - L0[W] Q4 P4,256,1,16,1792,1792,32,16,32,16,2,2,2,143360,8960,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,2,512,1,28,28,1,1,1,2,1_1_23_22_64_16_1,3803651.0,769719.0
200704,163.987,32.91293,1.250374,L3[WIO] Q4 K2 - L2[WI] N1 K16X - L1[O] K4 C32 Q7 P28 C16X - L0[W] N1,256,1,16,1792,1792,32,16,32,16,2,2,2,143360,8960,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,128,1,28,28,1,1,1,1,1_1_23_22_240_16_1,772387.0,225618.0
