target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,dse.auto_tiling,target.gemmini_auto_cycle,target.gemmini_cycle
418048,300.734,125.7212,1.479269,L3[WIO] P7 - L2[WI] N1 K16X - L1[O] K16 Q7 C32 P2 C16X - L0[W] Q4 P2,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,256,1,28,28,1,1,1,1,1_1_23_22_240_16_1,1096338.0,779446.0
1812608,968.054,1754.703,1.479269,L3[WIO] C2 K16 - L2[WI] N1 K16X - L1[O] S3 R3 C8 Q2 P4 C16X - L0[W] Q14 P7,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,28,28,3,3,1,1,3_3_23_22_176_16_1,2424286.0,1858112.0
5097960,2744.54,13991.55,1.479269,L3[WIO] C2 K45 - L2[WI] N1 K16X - L1[O] S3 R3 Q7 C8 P14 C16X - L0[W] Q4 P2,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,720,1,28,28,3,3,1,1,3_3_23_22_176_16_1,6221143.0,5180369.0
338688,160.339,54.30482,1.479269,L3[WIO] P2 - L2[WI] N1 K12X - L1[O] K3 S3 R3 C16 Q4 P14 C16X - L0[W] Q7,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,36,1,28,28,3,3,1,1,3_3_23_22_176_16_1,550605.0,363582.0
235776,190.583,44.93479,1.479269,L3[WIO] K2 Q2 - L2[WI] N1 K16X - L1[O] K8 Q7 C64 C16X - L0[W] P14,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,256,1,14,14,1,1,1,1,1_1_14_14_568_32_1,512945.0,226839.0
451584,289.553,130.7575,1.479269,L3[WIO] K2 S3 - L2[WI] N1 K16X - L1[O] K8 R3 C16 P14 C16X - L0[W] Q14,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,14,14,3,3,1,1,3_3_14_14_240_32_1,690913.0,479563.0
1270080,821.056,1042.807,1.479269,L3[WIO] K5 R3 - L2[WI] N1 K16X - L1[O] K9 S3 Q2 C16 P14 C16X - L0[W] Q7,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,720,1,14,14,3,3,1,1,3_3_14_14_240_32_1,1770212.0,1313859.0
84672,47.8123,4.048364,1.479269,L3[WIO] N1 - L2[WI] N1 K12X - L1[O] K3 S3 R3 C16 P7 C16X - L0[W] Q14 P2,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,36,1,14,14,3,3,1,1,3_3_14_14_240_32_1,218264.0,102676.0
100352,116.408,11.68182,1.479269,L3[WIO] K4 - L2[WI] N1 K16X - L1[O] K4 C128 Q7 P7 C16X - L0[W] N1,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,2048,1,1,256,1,7,7,1,1,1,1,1_1_7_7_624_160_1,415799.0,158180.0
204552,144.564,29.57087,1.479269,L3[WIO] S3 - L2[WI] N1 K16X - L1[O] K16 R3 Q7 C16 P7 C16X - L0[W] N1,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,7,7,3,3,1,1,3_3_7_7_119_112_1,205942.0,166981.0
575424,407.004,234.1998,1.479269,L3[WIO] K3 S3 - L2[WI] N1 K16X - L1[O] K15 R3 Q7 C16 C16X - L0[W] P7,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,720,1,7,7,3,3,1,1,3_3_7_7_119_112_1,565835.0,441768.0
21168,19.435,0.4113993,1.479269,L3[WIO] N1 - L2[WI] N1 K12X - L1[O] K3 S3 R3 C16 Q7 P7 C16X - L0[W] N1,256,1,16,1792,1792,32,16,32,16,2,2,2,231424,14464,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,36,1,7,7,3,3,1,1,3_3_7_7_255_36_1,50041.0,40164.0
