target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,target.gemmini_auto_cycle,target.gemmini_cycle
11696400,3425.98,40071.69,1.345735,L3[WIO] K2 Q5 P95 - L2[WI] N1 K16X - L1[O] Q3 K2 P2 S3 R3 - L0[W] Q38 P3,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,1,1,1,64,1,570,570,3,3,1,1,29031780.0,76306054.0
117477312,40312.3,4735783.0,1.345735,L3[WIO] K2 Q8 P71 - L2[WI] N1 K16X - L1[O] K2 C4 Q71 P2 S3 R3 C16X - L0[W] P4,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,64,1,568,568,3,3,1,1,148080412.0,436145151.0
104355905,28947.8,3020873.0,1.345735,L3[WIO] K8 Q94 - L2[WI] N1 K16X - L1[O] C4 Q3 P141 S3 R3 C16X - L0[W] P2,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,282,282,3,3,1,1,68190028.0,252040076.0
45472000,31267.4,1421789.0,1.345735,L3[WIO] K8 C2 Q8 P14 - L2[WI] N1 K16X - L1[O] P2 C4 S3 R3 C16X - L0[W] Q35 P10,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,128,1,280,280,3,3,1,1,226764432.0,406392963.0
21938688,13728.1,301177.5,1.345735,L3[WIO] K8 Q23 P2 - L2[WI] N1 K16X - L1[O] K2 C8 Q6 P3 S3 R3 C16X - L0[W] P23,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,256,1,138,138,3,3,1,1,106650012.0,294869033.0
64841472,32876.6,2131768.0,1.345735,L3[WIO] K2 C2 S3 Q17 P17 - L2[WI] N1 K16X - L1[O] K8 C8 Q4 P2 R3 C16X - L0[W] Q2 P4,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,136,136,3,3,1,1,343150661.0,2068819035.0
64852992,21615.2,1401809.0,1.345735,L3[WIO] K32 C2 Q3 P2 - L2[WI] N1 K16X - L1[O] C8 Q22 P11 S3 R3 C16X - L0[W] P3,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,512,1,66,66,3,3,1,1,164844298.0,144142668.0
38076416,31108.9,1184514.0,1.345735,L3[WIO] K16 C2 R3 Q4 P4 - L2[WI] N1 K16X - L1[O] P2 K2 C16 Q2 S3 C16X - L0[W] Q8 P8,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,512,1,64,64,3,3,1,1,346828298.0,948997884.0
31608832,14473.1,457478.9,1.345735,L3[WIO] K64 C4 R3 - L2[WI] N1 K16X - L1[O] C8 Q10 P15 S3 C16X - L0[W] Q3 P2,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,1024,1,30,30,3,3,1,1,222699757.0,116156297.0
60688384,63143.4,3832072.0,1.345735,L3[WIO] K64 S3 R3 Q7 - L2[WI] N1 K16X - L1[O] C64 Q2 P2 C16X - L0[W] Q2 P14,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,1024,1,28,28,3,3,1,1,507014961.0,3022127298.0
32632832,38241.9,1247942.0,1.345735,L3[WIO] K32 C8 R2 Q7 - L2[WI] N1 K16X - L1[O] P2 C8 Q2 S2 C16X - L0[W] Q4 P28,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,512,1,56,56,2,2,1,1,310790236.0,409757215.0
111257856,116111.0,12918290.0,1.345735,L3[WIO] K32 S3 R3 Q9 P3 - L2[WI] N1 K16X - L1[O] C64 Q2 P6 C16X - L0[W] Q3 P3,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,1024,1,1,512,1,54,54,3,3,1,1,590344792.0,6011336965.0
25136384,27033.6,679525.7,1.345735,L3[WIO] K32 C2 R3 Q13 - L2[WI] N1 K16X - L1[O] C16 P2 S3 C16X - L0[W] Q4 P26,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,512,1,52,52,3,3,1,1,256080518.0,515849553.0
36065536,24185.7,872271.7,1.345735,L3[WIO] K16 C4 P13 - L2[WI] N1 K16X - L1[O] P2 C8 Q52 S2 R2 C16X - L0[W] Q2 P4,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,256,1,104,104,2,2,1,1,244745778.0,308980577.0
96076800,60298.4,5793273.0,1.345735,L3[WIO] K16 C2 S3 Q3 P17 - L2[WI] N1 K16X - L1[O] C16 Q34 R3 C16X - L0[W] P6,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,512,1,1,256,1,102,102,3,3,1,1,451731679.0,1180927084.0
23280000,16785.2,390759.2,1.345735,L3[WIO] K16 C4 P5 - L2[WI] N1 K16X - L1[O] C4 Q10 P5 S3 R3 C16X - L0[W] Q10 P4,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,256,1,100,100,3,3,1,1,184195419.0,107672946.0
20480000,12244.5,250767.0,1.345735,L3[WIO] K2 Q25 P10 - L2[WI] N1 K16X - L1[O] P2 K4 C16 Q2 S2 R2 C16X - L0[W] Q4 P10,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,128,1,200,200,2,2,1,1,182831715.0,839949750.0
45319824,32414.7,1469030.0,1.345735,L3[WIO] K8 C2 Q9 P18 - L2[WI] N1 K16X - L1[O] C8 Q11 S3 R3 C16X - L0[W] Q2 P11,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,256,1,1,128,1,198,198,3,3,1,1,353741983.0,474221337.0
33528673,14357.3,481382.3,1.345735,L3[WIO] K2 Q7 P49 - L2[WI] N1 K16X - L1[O] K4 C8 Q14 S3 R3 C16X - L0[W] Q2 P4,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,128,1,196,196,3,3,1,1,108635396.0,645782387.0
30197765,14624.6,441629.2,1.345735,L3[WIO] Q49 P14 - L2[WI] N1 K16X - L1[O] K4 C8 Q4 P7 S2 R2 C16X - L0[W] Q2 P4,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,64,1,392,392,2,2,1,1,114987343.0,524830020.0
43804800,27037.7,1184379.0,1.345735,L3[WIO] Q390 P5 - L2[WI] N1 K16X - L1[O] P2 K4 C8 S3 R3 C16X - L0[W] P39,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,128,1,1,64,1,390,390,3,3,1,1,220122437.0,751503874.0
21678336,11256.7,244026.4,1.345735,L3[WIO] Q4 P97 - L2[WI] N1 K16X - L1[O] K4 C4 S3 R3 C16X - L0[W] Q97 P4,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,64,1,388,388,3,3,1,1,68408387.0,297771894.0
1242005,1102.65,1369.493,1.345735,L3[WIO] Q194 - L2[WI] N1 K2X - L1[O] P2 C4 C16X - L0[W] Q2 P194,256,1,16,2000,2000,32,16,32,16,2,2,2,153600,9600,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,2,1,388,388,1,1,1,1,7533788.0,14027062.0
