target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_shared_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_shared_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride
1048576,17.2251,18.06182,0.708209,L3[WIO] P128 - L2[WI] N1 - L1[O] K128 C64 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1048576,15.027818,15.75781,0.708209,L3[WIO] P64 - L2[WI] N1 - L1[O] K128 C64 P2 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1048576,13.929178,14.6058,0.708209,L3[WIO] P32 - L2[WI] N1 - L1[O] K128 C64 P4 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
536576,27.046376,14.51244,0.708209,L3[WIO] C4 K8 P8 - L2[WI] N1 K2X - L1[O] K8 C16 P16 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
262144,16.139408,4.230849,0.708209,L3[WIO] P8 K16 - L2[WI] N1 K4X - L1[O] K2 C64 P16 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
536576,26.909046,14.43875,0.708209,L3[WIO] C4 K8 P4 - L2[WI] N1 K2X - L1[O] K8 C16 P32 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
536576,26.840381,14.4019,0.708209,L3[WIO] C4 K8 P2 - L2[WI] N1 K2X - L1[O] K8 C16 P64 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
536576,28.968996,15.54407,0.708209,L3[WIO] C4 K8 P64 - L2[WI] N1 K2X - L1[O] K8 C16 P2 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
262144,12.603921,3.304042,0.708209,L3[WIO] P4 K16 - L2[WI] N1 K4X - L1[O] K2 C64 P32 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
536576,27.870356,14.95456,0.708209,L3[WIO] C4 K8 P32 - L2[WI] N1 K2X - L1[O] K8 C16 P4 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
536576,27.321036,14.65981,0.708209,L3[WIO] C4 K8 P16 - L2[WI] N1 K2X - L1[O] K8 C16 P8 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
262144,10.836177,2.840639,0.708209,L3[WIO] P2 K16 - L2[WI] N1 K4X - L1[O] K2 C64 P64 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
647168,87.690234,56.75031,0.708209,L3[WIO] P32 C16 K4 - L2[WI] N1 - L1[O] K32 C2 P4 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
647168,66.477313,43.02199,0.708209,L3[WIO] P8 C16 K4 - L2[WI] N1 - L1[O] K32 C2 P16 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
647168,73.548286,47.5981,0.708209,L3[WIO] P16 C16 K4 - L2[WI] N1 - L1[O] K32 C2 P8 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
385024,65.349698,25.1612,0.708209,L3[WIO] P8 C16 K4 - L2[WI] N1 - L1[O] K32 P16 C4X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
72704,30.395915,2.209905,0.708209,L3[WIO] C8 K8 - L2[WI] N1 K8X - L1[O] K2 C4 P128 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
385024,72.420672,27.8837,0.708209,L3[WIO] P16 C16 K4 - L2[WI] N1 - L1[O] K32 P8 C4X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
131072,7.697077,1.008871,0.708209,L3[WIO] K16 - L2[WI] N1 K4X - L1[O] K2 C32 P128 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
647168,172.541919,111.6636,0.708209,L3[WIO] P128 C16 K4 - L2[WI] N1 - L1[O] K32 C2 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
1048576,72.572943,76.09825,0.708209,L3[WIO] P8 K64 C32 - L2[WI] N1 - L1[O] K2 C2 P16 - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
72704,36.377022,2.644755,0.708209,L3[WIO] C8 K8 P2 - L2[WI] N1 K8X - L1[O] K2 C4 P64 C2X - L0[W] N1,256,1,16,512,512,32,16,32,16,2,2,2,131072,8192,128,1,1,8,1,1,32,gemmini,cnn-layer,64,1,1,128,1,128,1,1,1,1,1
